Location,Latitude,Longitude
"Regain Charging Post, The Works Ebbw Vale",51.764043,-3.203113
"Ebbw Vale Multi-Story Car Park, Steel Works Road",51.777559,-3.202214
"Asda Brynmawr Superstore, Lakeside Retail Park",51.7952522,-3.178753
"Hutchings Bridgend-Hyundai, Trews Field Industrial Estate",51.51244,-3.584415
"Sarn Supercharger, Sarn Park Services",51.535351,-3.577637
"Bassett's Nissan Bridgend, South Road",51.4966964,-3.5617038
"Sarn Park Welcome Break M4 Services, M4 Junction 36",51.534361,-3.576534
"Best Western Heronston Hotel & Leisure Club, Ewenny Road",51.492119,-3.576447
"MFG Texaco Ninian, Sloper Road",51.469647,-3.195624
"Ibis Cardiff Gate, Ibis Cardiff Gate",51.539299,-3.131
"Q-Park Cardiff Bay, Q-Park Cardiff Bay",51.465801,-3.1625
"Bannatyne Health Club and Spa - Llanishen, Parc TÃƒâ€¦Ã‚Â· Glas",51.524217,-3.191847
"Wessex Garages Cardiff, 289 Penarth Road",51.468083,-3.206283
"St David's Shopping Centre, St David's Shopping Centre Bridge Street Arcade",51.479103,-3.174819
"Ibis Budget Hotel Cardiff Centre, Tyndall Street",51.4771015,-3.166845
"St. David's Shopping Centre Car Park, Hills Street",51.47922,-3.1747675
"NCP Wood Street, Wood Street",51.476601,-3.17853
"NCP Greyfriars Road, Greyfriars Road",51.483101,-3.17577
"Renault Cardiff, 295 Penarth Road",51.4626971,-3.193859736
"NCP Dumfries Place, Dumfries Place",51.478001,-3.16922
"Cardiff West Moto M4 Services (Travelodge), Cardiff West Moto M4 Services",51.508924,-3.306719
"Cardiff Gate Welcome Break M4 Services, M4 Junction 30",51.5391667,-3.13
"289 Penarth Road, 289 Penarth Road",51.46102,-3.19667
"G24 Innovations, Newlands Road",51.506864,-3.101256
"ASDA Cardiff Coryton Supercentre, 1 Longwood Drive",51.524136,-3.242433
"Wessex Garages Cardiff, Hadfield Road",51.4665486,-3.2017036
"NCP Pellet Street, Pellet Street",51.478298,-3.17032
"Castle Car Park, Castle Street",51.9934529,-3.7955441
"The Cawdor, Rhosmaen Street",51.882965,-3.992978
"Calsonic Kansei UK LTD, Llethri Road",51.699438,-4.14244
"St Peter's Street Car Park, St Peter's Street",51.859087,-4.303028
"Mart Car Park, New Road",52.037951,-4.470243
"Roadhouse Restaurant, Abbey Road",51.82519554,-4.594688416
"FRF Toyota Carmarthen, Morfa Lane",51.854153,-4.313407
"Parc-Y-Scarlets, Pemberton Retail Park",51.678578,-4.127873
"The Browns B&B, King Street",51.77100283,-4.462243893
"Murray Street Multi-Storey Car Park, Murray Street",51.68137023,-4.161007404
"Nant y Ci Park and Ride, Nant-y-Ci",51.84714243,-4.349684715
"J & J Motors Nissan, Crosshands Business Park",51.793387,-4.0774524
"The Plash Inn, Llanfallteg",51.84777399,-4.678996831
"Pont Abraham Roadchef M4 Services, M4 Junction 49",51.747708,-4.06528
